movie_title,release_year,genre,rating,description,review,sentiment
The Shawshank Redemption,1994,Drama,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","An absolute masterpiece of cinema. The storytelling, acting, and message of hope are unmatched.",1
The Godfather,1972,"Crime, Drama",9.2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,The greatest crime movie ever made. Flawless acting by Marlon Brando and Al Pacino.,1
The Dark Knight,2008,"Action, Crime",9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests.","Ledger's Joker is legendary. A dark, intense, and brilliant comic book adaptation.",1
The Godfather Part II,1974,"Crime, Drama",9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","A rare sequel that matches, if not surpasses, the brilliant original masterpiece.",1
12 Angry Men,1957,"Crime, Drama",9.0,The jury in a New York City boy's mutiny trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence.,An incredible study of human psychology and tension inside a single room.,1
Schindler's List,1993,"Biography, Drama",9.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution.","Heartbreaking, powerful, and essential viewing. Spielberg at his absolute best.",1
The Lord of the Rings: The Return of the King,2003,"Action, Adventure",9.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,The perfect conclusion to an epic trilogy. The battle scenes are breathtaking.,1
Pulp Fiction,1994,"Crime, Drama",8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Tarantino's dialogue is iconic and sharp. Completely changed modern cinema.,1
Inception,2010,"Action, Sci-Fi",8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"Mind-bending visuals and a stunning, complex narrative. Absolutely gripping.",1
Fight Club,1999,Drama,8.8,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"Edgy, thought-provoking, and features one of the greatest plot twists in film history.",1
